10.0.0.3 : duplicate for [3], 84 bytes, 147 ms
10.0.0.4 : duplicate for [3], 84 bytes, 134 ms
10.0.0.4 : duplicate for [3], 84 bytes, 146 ms
10.0.0.3 : duplicate for [3], 84 bytes, 159 ms
10.0.0.4 : duplicate for [3], 84 bytes, 146 ms
10.0.0.3 : duplicate for [3], 84 bytes, 159 ms
10.0.0.4 : duplicate for [3], 84 bytes, 147 ms
10.0.0.3 : duplicate for [3], 84 bytes, 160 ms
10.0.0.4 : duplicate for [3], 84 bytes, 147 ms
10.0.0.3 : duplicate for [3], 84 bytes, 160 ms
10.0.0.4 : duplicate for [3], 84 bytes, 147 ms
10.0.0.3 : duplicate for [3], 84 bytes, 163 ms
10.0.0.4 : duplicate for [3], 84 bytes, 150 ms
10.0.0.2 : duplicate for [4], 84 bytes, 20.8 ms
10.0.0.2 : duplicate for [4], 84 bytes, 51.6 ms
10.0.0.2 : duplicate for [4], 84 bytes, 52.5 ms
10.0.0.3 : duplicate for [4], 84 bytes, 131 ms
10.0.0.3 : duplicate for [4], 84 bytes, 132 ms
10.0.0.3 : duplicate for [4], 84 bytes, 132 ms
10.0.0.3 : duplicate for [4], 84 bytes, 132 ms
10.0.0.2 : xmt/rcv/%loss = 20/20/0%, min/avg/max = 4.27/14.4/48.9
10.0.0.3 : xmt/rcv/%loss = 20/20/0%, min/avg/max = 8.07/35.3/220
